target,acid_pka,MaxEStateIndex,MinEStateIndex,qed,MolWt,BCUT2D_CHGHI,HallKierAlpha,PEOE_VSA11,PEOE_VSA14,PEOE_VSA8,PEOE_VSA9,SlogP_VSA12,SlogP_VSA7,EState_VSA2,EState_VSA9,VSA_EState1,VSA_EState4,VSA_EState5,fr_Ndealkylation1,fr_aryl_methyl,fr_ester,fr_ether
1,0.249371039,1.506441585,-0.776746864,-1.274542005,1.121490151,1.856031758,-1.595404132,1.826126431,0.826534491,0.717446203,1.095129482,-0.554138639,-0.407640853,0.67296074,0.658543444,1.141284823,-2.23755134,-1.296552221,-0.371390676,-0.326796751,4.047292605,1.696186658
1,-1.910233185,0.156259965,-0.724845279,-1.104111546,1.350539707,0.492030571,-0.419221109,0.515238144,0.203292493,0.709352993,3.810333818,-0.554138639,-0.407640853,0.470472835,0.731534049,0.67405724,0.91694857,-1.293240534,-0.371390676,-0.326796751,0.666010175,1.217775037
1,1.073624908,0.193660214,1.152452636,1.6916798,-0.724285719,-0.635360958,0.64957129,-0.859634106,-0.419949506,-1.025922197,-0.733683235,-0.554138639,-0.407640853,-0.605130551,-1.07573087,-0.842541982,0.251232791,0.469577449,-0.371390676,3.594764262,-0.461083968,-0.69587145
1,-0.958943773,0.634407429,-0.466742789,-0.591294504,0.056123946,0.408128411,-0.373196556,1.173167823,-0.419949506,0.953333929,1.49434466,-0.554138639,-0.407640853,0.976403107,0.384679187,0.275687555,0.180302772,-0.373584679,-0.371390676,-0.326796751,-0.461083968,0.739363415
1,-0.991441238,0.640646402,-0.657808646,-0.863539033,0.108345795,0.445238109,-0.393651913,1.173167823,-0.419949506,0.953333929,1.49434466,-0.554138639,-0.407640853,0.624978466,0.384679187,0.271001721,0.035371199,-0.524063738,-0.371390676,-0.326796751,-0.461083968,0.739363415
1,0.296640078,0.611539069,-0.359504376,-0.39324253,0.249236096,0.218874402,-0.582863964,-0.222005439,0.209762372,0.607160009,0.685212259,-0.554138639,-0.407640853,0.091673399,-0.017071345,-0.009212207,0.038055769,0.359935578,-0.371390676,1.633983755,0.666010175,0.260951794
1,0.234599464,1.430338149,-0.887703609,-1.269715704,1.027008392,1.984530604,-1.094247888,-0.164753077,0.514913492,2.927101692,1.281093884,-0.554138639,-0.407640853,-0.583801087,0.311688581,0.709743019,-1.301426222,-0.093352204,-0.371390676,-0.326796751,2.920198462,1.217775037
1,-1.041664592,-0.865592623,-2.578550272,-1.089807487,0.517137872,1.214638577,-0.28114745,1.758484308,0.122918851,1.164942026,-1.106882886,-0.554138639,-0.407640853,0.631152128,0.90111513,2.025000457,0.569319687,1.025987132,1.671258044,-0.326796751,-0.461083968,0.260951794
1,0.565482738,0.139897051,-0.27388155,-1.339703093,0.245707636,0.568281096,0.741620397,0.572490506,-0.419949506,-0.649818345,0.047618203,-0.554138639,-0.407640853,0.160140194,1.991070454,0.632529651,5.045528017,0.213933732,-0.371390676,-0.326796751,-0.461083968,1.217775037
1,-0.152415794,0.331977872,-2.887317715,-1.72744695,2.504140241,-0.14365099,-0.531725572,-0.164753077,1.746298013,0.448332138,0.117422476,0.141903027,-0.407640853,2.41486493,1.047178278,1.720720728,0.78217712,-1.150527181,-0.371390676,-0.326796751,1.793104319,0.739363415
1,-1.629573266,-0.073002462,0.509138936,-0.425751664,-0.508687394,-0.095872701,0.726278879,-0.859634106,-0.108328506,0.009303159,-0.352808693,-0.554138639,-0.407640853,0.408051372,-0.701807479,-0.842541982,-0.539038522,0.165798291,-0.371390676,-0.326796751,-0.461083968,-0.69587145
1,-1.709339769,0.661810084,0.191286979,-1.159759981,0.680478443,0.622745384,-1.748819309,-0.859634106,0.826534491,0.870321993,2.296179762,-0.554138639,-0.407640853,0.426888738,0.694733317,0.165101224,1.862420415,-0.49605441,-0.371390676,5.555544768,2.920198462,0.739363415
1,0.822508138,-0.362232205,0.079161671,-0.030953214,-0.87187389,0.118919463,0.58309138,-0.15064423,-0.122922727,-0.998149622,-0.698781099,-0.554138639,-0.407640853,-0.9407013,0.064892853,-0.437039256,0.58131864,0.440371612,-0.371390676,-0.326796751,-0.461083968,-0.217459828
1,1.100213743,-0.043484512,-1.134006868,0.580000871,-0.813544966,-0.423548465,1.692794494,-0.859634106,-0.019531011,0.375464185,-0.698781099,2.192779591,-0.407640853,-1.259124775,0.954466883,0.414036802,-0.539038522,0.639732695,-0.371390676,-0.326796751,-0.461083968,-0.69587145
1,-0.019471621,1.253244848,-0.747040194,-1.208208452,0.971251555,1.834339331,-1.048223335,1.131245403,0.83300437,0.036719118,1.095129482,-0.554138639,-0.407640853,0.368461712,0.658543444,1.091183638,-2.507713327,-0.924301452,-0.371390676,-0.326796751,2.920198462,1.696186658
1,-0.051969086,0.952033451,-0.871200283,-1.059567223,0.958655511,0.774937612,-0.08170772,-0.859634106,-0.108328506,1.501419632,0.778302597,-0.554138639,-0.407640853,1.451766365,0.658543444,1.106948399,-0.149569501,-1.527979543,-0.371390676,-0.326796751,0.666010175,1.696186658
1,-0.914629049,0.493432418,-0.447278982,-0.500824968,-0.041883008,0.389607585,-0.270919771,1.831537635,-0.419949506,1.256620138,0.711528256,-0.554138639,-0.407640853,1.270718673,0.037824324,-0.072020156,0.278709799,-0.343240499,-0.371390676,-0.326796751,-0.461083968,0.260951794
