target,acid_group,base_group,MaxEStateIndex,qed,MolWt,BalabanJ,HallKierAlpha,PEOE_VSA11,PEOE_VSA3,PEOE_VSA4,PEOE_VSA6,PEOE_VSA7,SMR_VSA2,SMR_VSA7,SMR_VSA9,SlogP_VSA11,SlogP_VSA7,EState_VSA11,EState_VSA8,EState_VSA9,VSA_EState4,VSA_EState5,VSA_EState9,NHOHCount,NumAromaticHeterocycles,NumRotatableBonds,RingCount,MolLogP,fr_Al_COO,fr_Al_OH,fr_NH1,fr_NH2,fr_Ndealkylation2,fr_alkyl_carbamate,fr_aniline,fr_aryl_methyl,fr_ether,fr_ketone,fr_methoxy,fr_para_hydroxylation,fr_piperzine,fr_pyridine,fr_sulfonamd
1,-1.605910137,0.824022054,-0.85067004,-0.361039184,0.043035709,0.123622256,-0.206001427,2.896232592,-0.767615937,0.448678527,-0.302919163,0.695694049,3.763316781,-0.182674804,2.766980567,3.384194865,-0.434314115,-0.254210831,0.750486475,1.041541219,-0.11957324,1.314281276,3.38233711,-1.210207945,-0.763505675,1.674208738,-0.762554373,0.433328088,-0.344657911,-0.536782631,-0.708925369,-0.255488065,-0.292279208,-0.266206953,-0.576923077,-0.432472449,2.24986929,-0.441941738,4.362304777,-0.304788738,-0.281718085,-0.410256665,-0.338753743
1,-1.605910137,-1.213559752,0.057348616,0.217097012,-0.424386498,0.241143355,0.185927965,1.111912811,-0.196043338,-0.440614002,-0.858997913,0.765654372,-0.204210988,0.424921144,0.020164307,0.451673954,1.598826814,-0.254210831,-1.084652684,1.274595844,-0.656831903,0.122221406,-0.204615931,-1.210207945,-0.763505675,-0.012401546,-0.762554373,0.249314803,-0.344657911,-0.536782631,-0.708925369,-0.255488065,-0.292279208,-0.266206953,-0.576923077,-0.432472449,0.753623699,1.060660172,-0.422158527,-0.304788738,-0.281718085,-0.410256665,-0.338753743
1,-1.605910137,-1.213559752,0.402222134,1.417692242,-0.464596951,0.483937254,0.267016804,2.0195518,-0.767615937,-0.440614002,-0.59124138,-1.822179508,-0.204210988,-0.856929597,1.374741655,2.406687895,1.598826814,-0.254210831,-1.084652684,2.312524165,-1.03394091,0.189661892,1.577701561,-1.210207945,-0.763505675,-0.735234525,-0.238779652,-0.583573836,-0.344657911,-0.536782631,-0.708925369,-0.255488065,-0.292279208,-0.266206953,-0.576923077,-0.432472449,2.24986929,2.563262082,3.166188951,-0.304788738,-0.281718085,-0.410256665,-0.338753743
1,0.622699849,-1.213559752,-0.067545092,0.411231906,-0.366007322,-0.02954342,0.740035036,-0.637153716,-0.767615937,-0.440614002,0.48886779,-0.131482355,-0.204210988,-1.042090974,0.697452982,1.429180925,-0.434314115,-0.254210831,0.883748725,-0.515351263,-0.097383722,0.832909237,-0.204615931,-0.515742626,-0.763505675,-0.012401546,-0.238779652,0.954933674,-0.344657911,-0.536782631,-0.708925369,-0.255488065,-0.292279208,-0.266206953,-0.576923077,-0.432472449,0.005500903,1.060660172,-0.422158527,-0.304788738,-0.281718085,-0.410256665,-0.338753743
1,0.622699849,-1.213559752,0.862349954,-1.500417021,2.333820235,-0.369403389,-0.51684198,0.251375567,-0.196043338,-0.440614002,1.440990649,1.808914708,-0.204210988,-0.179939731,-0.657124366,-0.525833016,-0.434314115,-0.254210831,-1.084652684,1.560505379,-0.230110778,-2.959615416,1.66566966,0.873188011,-0.763505675,-0.012401546,0.284995069,0.917781771,-0.344657911,2.683913156,-0.708925369,-0.255488065,-0.292279208,-0.266206953,-0.576923077,-0.432472449,2.997992086,4.065863992,3.166188951,-0.304788738,-0.281718085,-0.410256665,-0.338753743
1,-1.605910137,-1.213559752,-0.754302441,-0.217071347,-0.995273235,2.248832418,1.638769677,-0.637153716,-0.767615937,2.404706504,-1.307632422,-1.386211604,-0.204210988,-1.86588337,-0.657124366,-0.525833016,-0.434314115,-0.254210831,-0.679885299,-1.034315424,-0.643985432,0.147934156,-3.017184152,-1.210207945,-0.763505675,0.22854278,-1.810103816,-1.9606443,-0.344657911,-0.536782631,-0.708925369,-0.255488065,-0.292279208,-0.266206953,-0.576923077,-0.432472449,-0.742621893,-0.441941738,-0.422158527,-0.304788738,-0.281718085,-0.410256665,-0.338753743
1,-1.605910137,0.824022054,-0.140659158,1.330120863,-1.060047603,0.412548001,0.848153489,-0.637153716,-0.767615937,-0.440614002,0.113675713,-0.975143495,-0.204210988,-0.594571002,-0.657124366,-0.525833016,-0.434314115,-0.254210831,-0.827418801,-0.515351263,-0.303938319,0.022165247,0.399237921,-0.515742626,-0.763505675,-0.735234525,-0.762554373,-0.906537018,-0.344657911,-0.536782631,0.167564178,-0.255488065,-0.292279208,-0.266206953,-0.576923077,-0.432472449,0.005500903,-0.441941738,0.773957299,-0.304788738,-0.281718085,-0.410256665,-0.338753743
1,0.622699849,0.824022054,-0.352196209,0.253340545,-1.324947103,1.947170953,0.510283324,0.230470321,0.398113189,-0.440614002,-1.307632422,-1.822179508,-0.204210988,-0.903759423,-0.657124366,-0.525833016,-0.434314115,-0.254210831,-0.602388579,-1.034315424,-0.640081888,0.147934156,1.040730049,-0.515742626,1.800365233,-1.458067504,-0.762554373,-2.298619703,-0.344657911,-0.536782631,0.167564178,-0.255488065,-0.292279208,-0.266206953,-0.576923077,1.528069319,-0.742621893,-0.441941738,-0.422158527,-0.304788738,-0.281718085,-0.410256665,-0.338753743
1,0.622699849,-1.213559752,-0.570328024,1.62633928,-1.075240544,0.822697642,0.388650064,-0.637153716,-0.767615937,-0.440614002,-0.369232037,-0.620624721,-0.204210988,-0.379716959,0.020164307,0.451673954,-0.434314115,-0.254210831,-1.084652684,0.044112823,-0.377646663,-0.043341447,0.468583224,-0.515742626,-0.763505675,-0.735234525,-0.762554373,-0.482809323,2.122367134,-0.536782631,-0.708925369,-0.255488065,-0.292279208,-0.266206953,-0.576923077,-0.432472449,0.005500903,-0.441941738,0.773957299,-0.304788738,-0.281718085,-0.410256665,-0.338753743
1,0.622699849,0.824022054,0.538968734,-0.284674743,0.440908338,-0.428785986,-0.422238333,0.329236778,0.935183213,4.873140406,-0.838432229,-0.179616634,-0.204210988,1.209902304,-0.657124366,-0.525833016,-0.434314115,-0.254210831,-0.350157507,0.003612897,-1.721343729,0.054537917,-0.204615931,0.178722692,0.518429779,-0.012401546,0.284995069,0.370526226,-0.344657911,-0.536782631,1.044053725,-0.255488065,-0.292279208,-0.266206953,-0.576923077,-0.432472449,0.753623699,-0.441941738,-0.422158527,-0.304788738,-0.281718085,-0.410256665,-0.338753743
