target,acid_group,acid_pka,base_group,base_pKa,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
0,1,9.61,1,10.63,14.91424794,-1.846779078,14.91424794,0.024037556,0.024674501,1416.089,1320.329,1414.684071,544,0,0.2474813,-0.507966645,0.507966645,0.2474813,0.603960396,1.148514851,1.742574257,35.49569567,9.993226479,2.410661577,-2.32456049,2.228887761,-2.617134477,6.301347358,-0.143821402,1.248735159,3697.112401,74.03550074,57.96506576,58.7209947,47.99032921,33.77662497,34.15458944,26.14675213,26.58318791,17.09887809,17.35085441,11.6794779,11.80546605,-10.06,79.9210697,39.07200716,25.25943513,591.8987696,79.33130664,66.16792012,0,70.88615675,0,0,62.51842473,0,0,0,112.0922935,121.2694191,69.65761337,13.02770359,67.747501,93.25954507,0,62.63489542,17.385241,178.6317102,26.74406676,142.7983666,0,5.749511833,59.31843239,0,5.749511833,11.60093989,189.0873254,83.2177327,5.917906046,108.7419805,115.5219273,5.022633314,10.77244843,0,424.98,144.3322686,67.747501,0,69.19976647,53.08366056,15.67235816,62.45421153,50.24567681,56.31204388,52.83507596,23.06827484,0,6.229278857,174.5455858,47.91112495,13.14162922,-10.60954643,14.48841696,3.228657646,9.830651575,1.178645876,0.458333333,101,15,28,0,1,1,4,1,5,16,13,29,38,0,1,1,6,1.168,377.1827,0,1,1,0,0,1,0,1,0,0,12,12,0,0,0,3,9,2,0,1,1,0,0,0,0,0,0,12,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0
0,1,10.1,0,0,10.52446854,-0.115102041,10.52446854,0.115102041,0.595026197,151.165,142.093,151.0633285,58,0,0.220747436,-0.507964316,0.507964316,0.220747436,1.363636364,1.909090909,2.363636364,16.25468871,10.28019086,1.928036059,-1.994554074,2.125247579,-2.044011313,5.880954785,-0.113735783,2.736298072,253.2994976,8.267584714,6.164862963,6.164862963,5.18154055,3.249098148,3.249098148,2.228060242,2.228060242,1.187673315,1.187673315,0.748026599,0.748026599,-1.51,7.595374078,3.053138101,2.292303973,64.66690538,10.423316,5.749511833,0,5.907179729,0,0,4.794537184,0,0,0,0,24.26546827,12.61112347,0,9.901064579,11.594566,0,0,0,6.9237372,5.316788604,24.26546827,0,5.749511833,5.316788604,5.687386275,5.749511833,0,11.01370712,4.794537184,0,6.9237372,24.26546827,0,0,0,49.33,0,4.794537184,0,11.65669156,5.687386275,0,19.05647134,12.13273414,0,5.316788604,5.106527395,0,0,10.52446854,11.4600326,0.690092593,0.07851096,6.309537037,0,1.437358277,0,0.125,11,2,3,0,0,0,1,0,1,2,2,3,1,0,0,0,1,1.3506,42.4105,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,3.08,0,0,10.30910494,-1.06462963,10.30910494,0.106064815,0.491542713,163.198,154.126,163.0303141,58,0,0.326557339,-0.479694668,0.479694668,0.326557339,1.7,2.2,2.3,32.11686683,10.32622143,2.144961043,-2.07885596,1.864433495,-2.403563066,7.798532636,-0.140325741,3.833483296,147.8284896,8.14626437,5.495380822,6.389808013,4.574586063,2.683681414,3.316136946,1.773921497,2.139069868,0.858163888,1.22331226,0.430834124,0.678306475,-0.71,9.29,4.160819131,3.341930325,64.02122628,10.423316,6.041840829,0,5.907179729,0,5.969305288,4.794537184,4.794537184,12.62878915,0,0,0,12.67659081,0,14.69560176,24.50527417,0,5.316788604,0,12.96557803,5.752853607,0,0,0,5.316788604,0,0,12.62878915,28.77770685,9.589074368,0,6.9237372,0,0,0,0,66.4,12.01114612,9.589074368,0,11.66003334,0,0,6.9237372,0,0,17.94557775,5.106527395,0,3.734027778,20.51151235,10.57263889,0,-1.318333333,-0.874228395,0,1.263271605,0,0.6,10,2,4,0,0,0,0,0,0,3,3,5,3,0,0,0,0,-0.4945,39.0935,1,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,14,1,10.33,10.32974104,-3.869314011,10.32974104,0.425445641,0.34462472,214.227,199.107,214.0541,74,0,0.383528369,-0.330424745,0.383528369,0.330424745,1.416666667,2.083333333,2.583333333,32.73582413,10.4177795,2.112841407,-2.035608908,2.490701367,-2.201215105,8.540803054,0.396630379,3.062398421,151.6287586,9.449747468,6.771021543,8.481945314,5.560660172,3.669178578,6.872270705,2.216029066,6.06523631,1.095978078,3.375796419,0.58879186,2.049617461,0.42,12.42,6.884882141,10.42,76.01187494,20.83727929,0,0,0,0,6.797627492,0,4.565048285,0,0,0,30.89205923,12.29761001,0,14.35187149,18.17935229,0,5.316788604,5.733667477,6.420821623,25.38712282,0,0,0,11.05045608,0,0,18.17935229,35.17394603,4.565048285,0,6.420821623,0,0,0,0,95.58,6.797627492,4.565048285,0,0,30.22409121,12.96557803,0,0,0,5.316788604,15.52049068,10.32974104,0.664522628,16.89327995,3.014722222,5.242784383,0.425445641,0,0.889461687,-1.821068664,0,1,12,5,5,0,0,0,0,0,0,4,4,7,7,0,0,0,0,-0.2493,51.0432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
0,1,4.76,1,10.96,9.931203231,-0.715720899,9.931203231,0.277777778,0.536584419,131.175,118.071,131.0946287,54,0,0.302839563,-0.48123039,0.48123039,0.302839563,1.333333333,2,2.444444444,16.36512008,10.177822,1.935047054,-1.92557758,1.966312361,-1.990329261,5.660139076,-0.136648343,2.828868135,83.12704562,7.112884175,5.468346061,5.468346061,4.27005561,3.189532624,3.189532624,1.99307385,1.99307385,1.094766312,1.094766312,0.597339988,0.597339988,-0.57,8.43,5.564589502,7.43,54.85960815,10.84019487,0,0,0,0,5.969305288,4.794537184,0,0,0,6.420821623,19.38639965,6.420821623,0,9.901064579,5.969305288,0,0,5.733667477,25.68328649,6.544756406,0,0,0,5.733667477,0,0,0,17.62058909,4.794537184,0,25.68328649,0,0,0,0,63.32,5.969305288,4.794537184,0,6.420821623,6.544756406,19.26246487,0,0,0,0,10.84019487,0,0,9.931203231,8.181558957,5.19796627,-0.715720899,0,2.90537037,0.666288738,0,0.833333333,9,3,3,0,0,0,0,0,0,2,2,3,5,0,0,0,0,0.5901,35.1582,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
0,1,12.28,1,9.08,12.60964853,-3.521974618,12.60964853,0.030554532,0.702316523,369.487,342.271,369.1722273,140,0,0.254646835,-0.495842228,0.495842228,0.254646835,1.4,2.12,2.72,32.22787258,10.12666171,2.252823864,-2.228087653,2.290642329,-2.396906122,7.911293335,0.093788737,2.241239296,733.6536618,18.6125197,15.04049681,15.85699339,11.83406565,8.560922823,10.21318805,6.128407517,8.375079944,4.695141381,6.478895418,3.195197372,4.221653436,-1.8,19.52374838,8.052660124,4.243964693,148.9899875,15.78731903,5.749511833,9.837253136,0,5.907179729,0,9.694446915,8.417796984,0,0,13.8474744,31.99752313,18.6529643,29.00897239,17.94919712,21.43181914,0,10.21669833,0,37.62644195,38.23058784,17.69618563,0,5.749511833,15.78731903,5.687386275,5.749511833,0,57.76364764,9.837253136,0,37.04710632,17.02821761,0,0,0,101.73,9.837253136,13.21233417,0,33.55586641,12.58659724,25.93115606,26.16626888,0,0,17.14043553,10.47053043,29.58838949,0,14.9059443,2.899814579,6.111130026,-0.172068006,3.020843267,2.167576684,6.157749721,-2.096046724,0.588235294,25,3,7,0,1,1,1,0,1,6,2,8,7,0,1,1,2,1.2851,97.7354,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,1,3.44,1,11.22,13.52132727,-4.098861489,13.52132727,0.072788827,0.161855354,508.645,472.357,508.2467893,194,0,0.325925203,-0.479712006,0.479712006,0.325925203,1.314285714,2.057142857,2.742857143,32.23327335,9.913686837,2.388210412,-2.377294227,2.314689429,-2.561231995,7.89328002,-0.153400012,1.865400469,1062.481645,25.7503479,20.21132505,21.02782163,16.49090819,11.98503809,13.46820134,9.652239967,11.33464221,6.611036521,8.125092406,4.747571836,6.197485555,-2.86,26.73967074,11.25217415,6.632672412,205.9364725,26.37368181,16.97916513,5.959554569,15.93047088,0,5.969305288,10.20382079,13.21233417,4.722094864,0,25.98020854,55.56973877,19.63426922,5.687386275,23.11339875,33.54671701,5.409283606,14.9387932,17.56947957,62.93074765,24.95105782,23.7625527,0,0,21.08933955,5.687386275,0,0,67.97822457,26.03318714,17.2450957,45.09421238,23.09458468,0,0,0,177.71,33.98345783,23.11339875,0,36.28327853,37.4125136,11.98427311,10.9662768,6.066367068,12.99010427,22.27940927,11.14295108,29.52982332,0,26.75822822,22.84437888,6.754866563,-1.353479825,2.932185742,2.186812389,5.196046194,-4.098861489,0.608695652,35,7,11,0,2,2,1,0,1,6,6,12,9,0,1,1,3,0.91257,132.5948,1,0,0,0,0,0,0,0,1,1,2,1,0,0,0,1,4,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,1,4.26,0,0,12.07346189,-1.031936408,12.07346189,0.067012734,0.583073454,384.425,356.201,384.1784179,152,0,0.30819321,-0.481218929,0.481218929,0.30819321,1.111111111,1.888888889,2.62962963,17.25598022,9.579530947,2.693465816,-2.594624713,2.601012185,-2.701879117,5.76098397,-0.575912368,1.582893989,622.830908,19.39697675,16.01169393,16.01169393,12.74947322,9.863958363,9.863958363,8.657292307,8.657292307,6.887715364,6.887715364,5.40411639,5.40411639,-1.22,19.11190324,6.686108593,3.064268764,157.8991839,19.31711626,0,11.89107754,12.07713788,0,11.93861058,9.589074368,9.775141907,0,0,13.8474744,38.02201416,18.25663372,12.84164325,38.68133253,11.93861058,0,0,23.67162418,83.26435676,0,0,0,0,0,0,0,0,41.01335339,33.57480514,23.67162418,59.29614134,0,0,0,0,100.52,35.906826,9.589074368,0,30.59536138,12.33872767,19.26246487,0,0,13.8474744,6.9237372,29.09225816,17.79616525,0,34.52147768,8.757188404,-0.697355744,-1.824173324,0,1.718786667,6.061244392,0,0.894736842,27,1,8,1,4,5,0,0,0,7,1,8,4,1,4,5,5,2.6024,89.7898,1,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,4.19,0,0,10.5324452,-1.417962963,10.5324452,0.671342593,0.385005401,176.124,168.06,176.032088,68,0,0.377497234,-0.5050473,0.5050473,0.377497234,1.5,2.083333333,2.416666667,16.5826008,10.16550285,2.382313218,-2.133673373,2.20313221,-2.310893941,5.885924232,-0.147321662,2.796067066,232.1928095,9.300964908,5.967158282,5.967158282,5.574586063,3.195847561,3.195847561,2.309678208,2.309678208,1.47600228,1.47600228,0.822777035,0.822777035,-1.27,8.823196645,2.99698026,1.213876845,67.32052975,25.16297253,6.103966388,11.86313126,5.759164872,0,5.969305288,0,4.794537184,0,0,0,0,0,6.606881965,29.95750972,5.969305288,0,0,0,12.20793278,6.606881965,11.51832974,0,0,0,0,0,0,45.21022961,9.531400138,0,0,11.51832974,0,0,0,107.22,36.30244977,4.794537184,0,0,0,0,0,0,0,4.736862954,20.42610958,4.315509259,0,10.5324452,35.04547147,0,-2.778657407,0,-2.776759259,-0.671342593,0,0.5,12,4,6,0,1,1,0,0,0,6,4,6,2,0,0,0,1,-1.4074,35.2562,0,4,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,13.84,1,9.12,10.74650782,-0.548429521,10.74650782,0.223426022,0.637673978,266.341,244.165,266.1630426,106,0,0.221339043,-0.490849109,0.490849109,0.221339043,1.368421053,2,2.526315789,16.4892018,10.13542851,2.058698782,-2.14659039,2.122770003,-2.346749086,5.760774776,-0.11689712,2.346203475,390.1824796,14.25071238,11.4264824,11.4264824,8.969234251,6.38569708,6.38569708,4.814816658,4.814816658,2.505817682,2.505817682,1.527798547,1.527798547,-1.59,15.46743825,7.759435822,6.78504652,113.309994,20.89384643,18.46036019,0,5.907179729,0,0,4.794537184,0,0,0,25.98020854,17.69618563,12.58659724,6.420821623,14.63792753,5.907179729,0,5.316788604,5.733667477,32.41410324,13.15163837,29.82891977,0,5.749511833,15.78731903,0,5.749511833,0,36.31115271,11.21535881,0,19.41092589,24.26546827,0,0,0,84.58,6.103966388,9.901064579,0,18.93488332,18.33610907,5.563451492,0,24.26546827,13.8474744,5.316788604,10.47053043,5.453870937,0,10.74650782,12.81508527,5.95737719,0.306173849,7.446397675,-0.3250035,4.766257426,0,0.5,19,4,5,0,0,0,1,0,1,4,3,5,8,0,0,0,1,0.4521,73.9809,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
