target,acid_group,acid_pka,base_group,base_pKa,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
1,1,6.39,0,0,11.32357442,-3.52490935,11.32357442,0.056319444,0.676087093,308.315,296.219,308.0466925,110,0,0.272814646,-0.454898786,0.454898786,0.272814646,1.142857143,1.80952381,2.380952381,32.23310122,10.23653431,2.147736595,-2.113471918,2.330399243,-2.100880132,7.915301524,-0.384466976,2.429176693,759.3860167,15.45781916,11.01550549,11.83200207,9.84915521,5.841426703,7.732838241,4.226914349,5.975369548,2.442380182,3.033084197,1.608584909,2.176690103,-2.61,14.79194472,5.795977676,4.180172369,120.9305985,4.736862954,5.749511833,5.749511833,10.02329115,5.687386275,0,14.83641313,8.417796984,0,0,18.19910121,18.19910121,6.066367068,22.93283358,18.07797099,21.3980637,0,0,0,0,10.97786405,58.64525482,0,11.49902367,9.458957818,11.37477255,11.49902367,0,19.59687722,10.02329115,10.11431827,0,48.53093655,0,0,0,98.54,14.9466022,18.53211525,0,17.12428438,5.749511833,6.255769184,18.19910121,30.33183534,0,4.722094864,4.736862954,30.42271455,0,10.23219305,10.81346384,-0.063022959,0.495716648,12.22036223,0.986815319,0,-3.52490935,0.076923077,21,1,7,0,0,0,2,0,2,5,1,8,5,0,0,0,2,2.7586,78.0789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0,14,1,6.22,12.80151582,-1.158501335,12.80151582,0.064479397,0.174394288,705.647,667.343,704.2393071,256,0,0.350101208,-0.490790806,0.490790806,0.350101208,0.918367347,1.591836735,2.224489796,35.49683849,10.05685281,2.453771636,-2.371079625,2.402557103,-2.460909498,6.346739198,-0.190299547,0.92529827,1907.319691,33.95924391,27.36108943,28.87294732,23.81363205,16.40760222,17.16353117,12.30175742,13.14539333,9.150017714,9.697823826,6.240378006,6.79283892,-4.36,33.15173603,14.24216039,7.044519489,293.8844571,24.01040832,43.98707682,0,5.787111153,0,5.689743398,0,23.70922122,10.19736362,0,36.19198405,74.00822951,48.13988298,23.35874238,14.21058886,34.57665233,0,29.11204766,0,44.7459708,49.19260901,111.8049967,0,11.43689811,20.22642581,11.37477255,5.749511833,23.20187978,74.6088036,21.80559347,0,31.87358834,90.50653516,10.04526663,5.687386275,0,104.7,5.787111153,4.794537184,0,24.38030702,28.82248205,55.4115179,11.00912301,34.03627687,44.17930974,49.24662987,37.41246864,23.65689193,12.73959322,21.58906425,9.504828284,3.642022506,-0.41018791,21.58128924,5.187873812,8.480846895,0,0.371428571,49,0,12,0,2,2,3,2,5,12,0,14,11,0,2,2,7,5.5773,188.176,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,14,1,9.16,4.17625,0.997037037,4.17625,0.997037037,0.665801829,136.198,124.102,136.1000484,54,0,0.041575568,-0.319363459,0.319363459,0.041575568,1.5,2.4,3,14.80469259,10.26016198,1.879570164,-1.963300297,1.915861355,-2.102741921,5.029501112,0.776350142,2.426522347,171.8722824,7.234204519,6.170828235,6.170828235,4.931851653,3.477587603,3.477587603,2.174628353,2.174628353,1.35728844,1.35728844,0.799078096,0.799078096,-0.89,7.219769484,4.011046941,2.150423034,61.29573963,5.316788604,0,0,0,0,0,4.983978521,0,0,0,6.066367068,19.18040612,24.8563496,0,0,0,0,10.30076712,0,6.420821623,13.59242839,30.08987277,0,0,5.316788604,0,0,0,18.57640691,6.420821623,0,5.693927995,24.39594478,0,0,0,24.92,0,0,0,0,0,18.65950602,0,0,31.44361676,10.30076712,0,0,0,4.17625,3.076176304,1.149861111,0,5.984332955,2.835648148,0.997037037,1.947361111,0.375,10,1,2,0,0,0,0,1,1,2,1,2,3,0,0,0,1,0.8435,41.8677,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,9.1,1,5.6,13.08323704,-0.934767686,13.08323704,0,0.495021687,441.613,398.269,441.3202715,180,0,0.325940155,-0.479711838,0.479711838,0.325940155,1.193548387,1.774193548,2.290322581,16.533941,9.844499391,2.480638555,-2.349459093,2.396793664,-2.552830118,5.881799477,-0.151550959,8.61E-07,598.5095883,23.76722023,20.14837622,20.14837622,14.40028457,11.66697252,11.66697252,9.794819006,9.794819006,5.59766218,5.59766218,4.394949069,4.394949069,-1.67,27.36409478,12.38782402,8.767490093,186.8040782,20.47696756,12.08368166,0,5.907179729,0,11.93861058,14.90586297,4.794537184,0,0,26.18620207,66.21987854,11.58076608,12.64872279,24.2270019,17.84579031,0,10.21669833,11.65157352,116.1944631,6.606881965,0,0,0,11.05045608,0,0,0,64.16539796,19.12047451,5.917906046,86.48817456,0,0,0,0,121.96,24.09482778,19.49013895,0,29.37515714,19.44852521,32.10410811,0,18.74738413,27.6949488,5.316788604,10.47053043,5.087464142,0,38.48605752,12.67268437,5.354166667,-1.244539553,-1.924718968,5.873802838,11.61174966,0,0.869565217,31,4,8,1,1,2,0,0,0,6,3,8,8,1,1,2,2,2.6842,120.4999,1,0,0,0,0,0,0,0,1,1,3,2,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,14,1,8.32,4.137037037,0.609907407,4.137037037,0.609907407,0.626151823,162.236,148.124,162.1156984,64,0,0.036029667,-0.299307149,0.299307149,0.036029667,1.583333333,2.5,3.083333333,15.14357761,10.08126275,2.214113356,-2.182860478,2.286229481,-2.168351546,5.143791622,0.316712421,2.194591658,245.275309,8.388905057,7.402498881,7.402498881,5.877010098,4.478978392,4.478978392,3.424992539,3.424992539,2.589629436,2.589629436,1.904487451,1.904487451,-0.89,7.743335629,3.232933926,1.344570625,73.22976419,0,0,0,0,0,0,9.883888252,0,0,0,6.066367068,38.06389019,18.43552797,0,0,0,0,9.883888252,0,18.88348407,13.59242839,30.08987277,0,0,0,0,0,0,23.47631664,0,0,24.44693557,24.52642128,0,0,0,16.13,0,0,0,0,6.041840829,0,24.94985114,0,18.46005421,22.9979273,0,0,0,6.536851852,0,1.358796296,0,4.791435185,6.405944822,1.221786659,2.185185185,0.5,12,0,2,0,1,1,0,1,1,2,0,2,1,0,1,1,2,1.8483,48.842,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,9.3,1,5.3,13.34736568,-0.957104506,13.34736568,0.006973969,0.138316858,620.735,592.511,620.1181602,218,0,0.357782713,-0.427438251,0.427438251,0.357782713,1.243902439,2,2.609756098,32.16672802,9.975341135,2.542611229,-2.49007065,2.410514595,-2.706611843,7.998491833,-0.172966541,1.551736912,1455.25616,29.89661227,22.82700273,25.27649248,19.41694122,12.15725725,14.96531767,9.795032394,12.67605304,5.85086873,8.72318199,3.730519161,6.291072699,-3.76,30.20439257,12.40195246,6.598935159,247.3603333,25.36177057,29.91647849,10.84324348,6.792942306,11.81435946,11.93861058,19.28352128,14.76249423,0,34.43545671,11.23173283,39.34407344,16.01006357,16.61945774,33.48946323,75.10769033,0,20.18465538,10.5707032,39.11066244,25.38926093,44.50176918,0,0,11.05045608,5.13155848,0,34.43545671,75.40382891,33.48946323,12.33872767,37.03621478,33.39247872,0,6.076020107,0,175.4,47.37661645,19.17814874,0,22.23421079,11.32595814,21.90786107,35.1083781,37.73783375,12.99975731,20.44045837,20.04498197,10.33510789,3.922970036,67.00180389,7.592971972,8.025193322,-2.262128843,-0.957104506,3.545007316,6.267925672,1.278253252,0.4,41,3,13,0,2,2,0,2,2,14,2,16,9,0,1,1,4,2.29812,154.5121,0,0,0,1,0,2,0,0,0,0,4,4,0,0,0,4,1,1,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0
1,0,14,1,2.37,11.28335695,-3.126007653,11.28335695,0.036252362,0.558463504,247.276,234.172,247.0626769,90,0,0.342377597,-0.35785768,0.35785768,0.342377597,1.5625,2.1875,2.6875,32.22782763,10.58221634,2.18959594,-2.023307783,2.13078711,-2.160418077,7.908385115,-0.391698087,2.891985104,491.3817428,12.34493498,9.081552852,9.898049432,7.371009241,4.740467737,6.561834942,3.30872845,5.781467106,2.286813145,3.97104861,1.253078275,2.002498239,-1.44,12.62868132,4.601945333,2.782585916,93.17326768,10.11431827,12.74159998,15.66165763,0,0,5.817862778,0,17.96887515,0,0,6.9237372,4.923311049,12.67659081,5.752853607,13.34110803,15.65511591,0,9.551078169,0,20.39223081,11.50570721,22.13556634,0,0,0,5.817862778,0,0,34.39789342,16.38200954,17.03805547,12.7481417,6.196843572,0,0,0,95.1,14.76056419,18.53211525,0,23.8683264,5.824404498,6.196843572,4.567099648,13.8474744,0,4.983978521,0,23.86553335,0,13.84433587,10.62440815,0,0.192230253,0,1.132835412,3.21666462,-3.126007653,0.625,16,0,7,0,0,0,0,1,1,6,0,8,5,0,0,0,1,0.53442,57.9462,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,4.5,0,0,12.19692256,-0.947347789,12.19692256,0.087066396,0.255941045,380.525,344.237,380.2562743,154,0,0.327475557,-0.478081999,0.478081999,0.327475557,1.296296296,2.037037037,2.703703704,16.3646934,9.878674439,2.388999912,-2.184870945,2.340921363,-2.192862095,5.842443601,-0.13103596,2.473936515,510.8325264,20.23384004,16.71825082,16.71825082,12.84544301,10.31310332,10.31310332,7.882041945,7.882041945,5.378967293,5.378967293,3.820615055,3.820615055,-1.46,23.57915427,12.84258291,9.337815652,162.7237437,15.31958218,5.783244946,0,0,0,5.969305288,4.794537184,4.794537184,0,0,57.75882121,31.60119254,24.33265382,12.20793278,24.90865655,11.75255023,0,0,17.75371814,83.84280178,0,24.30408043,0,0,0,0,0,0,39.28006519,9.589074368,17.75371814,71.63486901,24.30408043,0,0,0,94.83,18.17723806,19.80212916,0,24.03987866,25.18037091,38.18012822,0,12.15204021,6.076020107,13.8474744,5.106527395,0,0,22.61836858,28.99395591,0,-0.840406071,0,12.43006242,4.298019162,0,0.727272727,27,3,5,1,0,1,0,0,0,4,3,5,13,1,0,1,1,3.8872,106.3074,1,2,2,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
1,1,4.29,1,3.95,12.50190681,-3.905928577,12.50190681,0.046864712,0.870183922,331.353,318.249,331.0626769,118,0,0.277488412,-0.504861549,0.504861549,0.277488412,1.173913043,1.869565217,2.565217391,32.23342734,10.12261827,2.372210772,-2.278175248,2.340514157,-2.368521419,7.890370266,-0.113318705,2.093281793,907.3290497,16.6125197,12.0934361,12.90993268,10.92555749,6.666414092,8.106477421,4.835009475,6.772691118,3.441392893,5.256851024,2.294371166,3.692312812,-2.87,15.04218366,5.398063657,2.423248612,132.4987072,10.423316,5.817862778,11.45620418,0,15.93047088,0,9.099753175,13.40177551,0,0,18.19910121,24.26546827,18.80796705,4.895483476,18.31886156,27.50749853,0,9.289194512,0,4.895483476,12.36446059,59.92190386,0,0,5.316788604,5.817862778,0,0,35.7683706,14.81782834,0,5.563451492,59.25393584,0,5.759164872,0,99.6,21.68963575,18.31886156,0,21.97383706,0,4.305215991,25.37724969,30.33183534,0,10.30076712,0,25.77061917,0,16.30411066,12.83147904,-0.25821859,-0.906860408,10.87778622,1.486587315,0,-2.68883674,0.066666667,23,2,7,0,1,1,1,1,2,5,2,8,2,0,0,0,3,1.581,83.8063,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1,1,11.54,1,2.99,14.37922367,-1.957662037,14.37922367,0.095981198,0.763975761,349.316,335.204,349.1150447,130,0,0.162866059,-0.382403297,0.382403297,0.162866059,1.16,1.96,2.6,19.14638532,9.794073648,2.41305011,-2.341066488,2.390065354,-2.385530163,5.295903906,-0.013344755,2.127146403,873.9665643,18.02673326,13.14308393,13.14308393,11.91453935,7.372743235,7.372743235,5.619090217,5.619090217,4.089727485,4.089727485,2.724195812,2.724195812,-2.81,17.0273663,6.595176588,3.224981748,140.5623773,5.106527395,36.21745272,5.817220841,0,0,0,0,32.80498364,5.098681808,0,12.99010427,6.066367068,17.54772461,18.43552797,18.27777254,0,0,24.73242031,0,24.98745046,0,72.08694701,0,0,0,13.17124514,0,0,29.8389477,12.14580722,17.45166252,24.09902273,43.377905,0,0,0,76.72,28.97061938,18.27777254,0,17.80213589,6.066367068,24.65689778,24.26018028,0,0,20.05061737,0,43.03168791,0,11.19990128,15.18938838,-2.252798564,-3.469118953,2.801252992,4.661094734,1.255258881,0,0.25,25,1,6,0,0,0,1,2,3,6,1,9,5,0,0,0,3,2.1769,80.6818,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
